
Iteracción: 0
individual0 mCAI=0.555196,mHD=0.149123,lLCS=0.0672515,GENDER=female,AGE:0,fitness:6.90575e+10, last mutation: -1, Identificador de poblacion: 179
individual1 mCAI=0.522765,mHD=0.160819,lLCS=0.0847953,GENDER=female,AGE:0,fitness:1.21821e+09, last mutation: -1, Identificador de poblacion: 169
individual2 mCAI=0.558247,mHD=0.163743,lLCS=0.0760234,GENDER=female,AGE:0,fitness:4.88127e+08, last mutation: -1, Identificador de poblacion: 53
individual3 mCAI=0.556822,mHD=0.163743,lLCS=0.0760234,GENDER=female,AGE:0,fitness:4.85165e+08, last mutation: -1, Identificador de poblacion: 93
individual4 mCAI=0.516266,mHD=0.163743,lLCS=0.0935673,GENDER=female,AGE:0,fitness:4.6821e+08, last mutation: -1, Identificador de poblacion: 17
individual5 mCAI=0.530473,mHD=0.163743,lLCS=0.0847953,GENDER=female,AGE:0,fitness:4.60658e+08, last mutation: -1, Identificador de poblacion: 154
individual6 mCAI=0.543521,mHD=0.163743,lLCS=0.0760234,GENDER=female,AGE:0,fitness:4.58377e+08, last mutation: -1, Identificador de poblacion: 141
individual7 mCAI=0.532018,mHD=0.163743,lLCS=0.0760234,GENDER=female,AGE:0,fitness:4.36406e+08, last mutation: -1, Identificador de poblacion: 108
individual8 mCAI=0.553978,mHD=0.166667,lLCS=0.111111,GENDER=female,AGE:0,fitness:2.10058e+08, last mutation: -1, Identificador de poblacion: 75
individual9 mCAI=0.554928,mHD=0.166667,lLCS=0.0935673,GENDER=female,AGE:0,fitness:1.92573e+08, last mutation: -1, Identificador de poblacion: 8
individual10 mCAI=0.557832,mHD=0.166667,lLCS=0.0760234,GENDER=female,AGE:0,fitness:1.78317e+08, last mutation: -1, Identificador de poblacion: 161
individual11 mCAI=0.556545,mHD=0.166667,lLCS=0.0760234,GENDER=female,AGE:0,fitness:1.77388e+08, last mutation: -1, Identificador de poblacion: 20
individual12 mCAI=0.547665,mHD=0.166667,lLCS=0.0760234,GENDER=female,AGE:0,fitness:1.71114e+08, last mutation: -1, Identificador de poblacion: 29
individual13 mCAI=0.546907,mHD=0.166667,lLCS=0.0760234,GENDER=female,AGE:0,fitness:1.70588e+08, last mutation: -1, Identificador de poblacion: 188
individual14 mCAI=0.534546,mHD=0.166667,lLCS=0.0672515,GENDER=female,AGE:0,fitness:1.53501e+08, last mutation: -1, Identificador de poblacion: 128
individual15 mCAI=0.505334,mHD=0.166667,lLCS=0.0760234,GENDER=female,AGE:0,fitness:1.44121e+08, last mutation: -1, Identificador de poblacion: 97
individual16 mCAI=0.572719,mHD=0.169591,lLCS=0.114035,GENDER=female,AGE:0,fitness:7.96662e+07, last mutation: -1, Identificador de poblacion: 111
individual17 mCAI=0.562492,mHD=0.169591,lLCS=0.0847953,GENDER=female,AGE:0,fitness:6.90153e+07, last mutation: -1, Identificador de poblacion: 148
individual18 mCAI=0.563547,mHD=0.169591,lLCS=0.0760234,GENDER=female,AGE:0,fitness:6.67045e+07, last mutation: -1, Identificador de poblacion: 81
individual19 mCAI=0.530091,mHD=0.169591,lLCS=0.0935673,GENDER=female,AGE:0,fitness:6.54523e+07, last mutation: -1, Identificador de poblacion: 124
individual20 mCAI=0.552145,mHD=0.169591,lLCS=0.0789474,GENDER=female,AGE:0,fitness:6.47773e+07, last mutation: -1, Identificador de poblacion: 24
individual21 mCAI=0.539948,mHD=0.169591,lLCS=0.0818713,GENDER=female,AGE:0,fitness:6.29769e+07, last mutation: -1, Identificador de poblacion: 114
individual22 mCAI=0.558574,mHD=0.169591,lLCS=0.0672515,GENDER=female,AGE:0,fitness:6.28685e+07, last mutation: -1, Identificador de poblacion: 63
individual23 mCAI=0.534021,mHD=0.169591,lLCS=0.0847953,GENDER=female,AGE:0,fitness:6.27788e+07, last mutation: -1, Identificador de poblacion: 102
