
Iteracción: 0
individual0 mCAI=1,mHD=0,lLCS=1,GENDER=male,AGE:0,fitness:1.85839e+08, last mutation: -1, Identificador de poblacion: 0
individual1 mCAI=0.38889,mHD=0.210526,lLCS=0.140351,GENDER=female,AGE:0,fitness:34908.5, last mutation: -1, Identificador de poblacion: 53
individual2 mCAI=0.444402,mHD=0.201754,lLCS=0.122807,GENDER=female,AGE:0,fitness:30755.6, last mutation: -1, Identificador de poblacion: 186
individual3 mCAI=0.436451,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:25945.4, last mutation: -1, Identificador de poblacion: 55
individual4 mCAI=0.42162,mHD=0.201754,lLCS=0.131579,GENDER=female,AGE:0,fitness:24050.9, last mutation: -1, Identificador de poblacion: 16
individual5 mCAI=0.417845,mHD=0.201754,lLCS=0.122807,GENDER=female,AGE:0,fitness:23447.1, last mutation: -1, Identificador de poblacion: 85
individual6 mCAI=0.414504,mHD=0.210526,lLCS=0.157895,GENDER=female,AGE:0,fitness:20577.7, last mutation: -1, Identificador de poblacion: 137
individual7 mCAI=0.412308,mHD=0.201754,lLCS=0.122807,GENDER=female,AGE:0,fitness:20538.9, last mutation: -1, Identificador de poblacion: 84
individual8 mCAI=0.401539,mHD=0.210526,lLCS=0.157895,GENDER=female,AGE:0,fitness:18111.9, last mutation: -1, Identificador de poblacion: 48
individual9 mCAI=0.407491,mHD=0.201754,lLCS=0.140351,GENDER=female,AGE:0,fitness:18008.8, last mutation: -1, Identificador de poblacion: 28
individual10 mCAI=0.406427,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:17601.4, last mutation: -1, Identificador de poblacion: 114
individual11 mCAI=0.397261,mHD=0.201754,lLCS=0.131579,GENDER=female,AGE:0,fitness:11831.9, last mutation: -1, Identificador de poblacion: 41
individual12 mCAI=0.400976,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:11359.8, last mutation: -1, Identificador de poblacion: 107
individual13 mCAI=0.391024,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:8791.71, last mutation: -1, Identificador de poblacion: 46
individual14 mCAI=0.39069,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:8764.32, last mutation: -1, Identificador de poblacion: 78
individual15 mCAI=0.346017,mHD=0.219298,lLCS=0.122807,GENDER=female,AGE:0,fitness:8576.9, last mutation: -1, Identificador de poblacion: 116
individual16 mCAI=0.389323,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:8520, last mutation: -1, Identificador de poblacion: 90
individual17 mCAI=0.388967,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:8492.08, last mutation: -1, Identificador de poblacion: 92
individual18 mCAI=0.388744,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:8471.44, last mutation: -1, Identificador de poblacion: 128
individual19 mCAI=0.388592,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:8459.6, last mutation: -1, Identificador de poblacion: 127
individual20 mCAI=0.371816,mHD=0.210526,lLCS=0.149123,GENDER=female,AGE:0,fitness:7369.17, last mutation: -1, Identificador de poblacion: 63
individual21 mCAI=0.432394,mHD=0.192982,lLCS=0.122807,GENDER=female,AGE:0,fitness:7222.26, last mutation: -1, Identificador de poblacion: 124
individual22 mCAI=0.385731,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:6519.52, last mutation: -1, Identificador de poblacion: 105
individual23 mCAI=0.385233,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:6488.94, last mutation: -1, Identificador de poblacion: 108
individual24 mCAI=0.426909,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:6318.04, last mutation: -1, Identificador de poblacion: 45
individual25 mCAI=0.436199,mHD=0.201754,lLCS=0.166667,GENDER=female,AGE:0,fitness:6069.07, last mutation: -1, Identificador de poblacion: 38
individual26 mCAI=0.414564,mHD=0.192982,lLCS=0.122807,GENDER=female,AGE:0,fitness:5720.29, last mutation: -1, Identificador de poblacion: 164
individual27 mCAI=0.39875,mHD=0.201754,lLCS=0.157895,GENDER=female,AGE:0,fitness:5016.83, last mutation: -1, Identificador de poblacion: 42
individual28 mCAI=0.406819,mHD=0.192982,lLCS=0.122807,GENDER=female,AGE:0,fitness:4845.83, last mutation: -1, Identificador de poblacion: 27
individual29 mCAI=0.384577,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:4804.9, last mutation: -1, Identificador de poblacion: 175
individual30 mCAI=0.382498,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:4689.22, last mutation: -1, Identificador de poblacion: 192
individual31 mCAI=0.400925,mHD=0.201754,lLCS=0.166667,GENDER=female,AGE:0,fitness:4135.98, last mutation: -1, Identificador de poblacion: 66
individual32 mCAI=0.41628,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:3870.15, last mutation: -1, Identificador de poblacion: 151
