
Iteracción: 0
individual0 mCAI=1,mHD=0,lLCS=1,GENDER=male,AGE:0,fitness:7.90161e+09, last mutation: -1, Identificador de poblacion: 0
individual1 mCAI=0.406847,mHD=0.210526,lLCS=0.122807,GENDER=female,AGE:0,fitness:342211, last mutation: -1, Identificador de poblacion: 180
individual2 mCAI=0.402844,mHD=0.210526,lLCS=0.149123,GENDER=female,AGE:0,fitness:302671, last mutation: -1, Identificador de poblacion: 186
individual3 mCAI=0.396747,mHD=0.210526,lLCS=0.149123,GENDER=female,AGE:0,fitness:276326, last mutation: -1, Identificador de poblacion: 114
individual4 mCAI=0.396237,mHD=0.210526,lLCS=0.149123,GENDER=female,AGE:0,fitness:275568, last mutation: -1, Identificador de poblacion: 79
individual5 mCAI=0.387903,mHD=0.210526,lLCS=0.149123,GENDER=female,AGE:0,fitness:164650, last mutation: -1, Identificador de poblacion: 99
individual6 mCAI=0.382863,mHD=0.210526,lLCS=0.149123,GENDER=female,AGE:0,fitness:153681, last mutation: -1, Identificador de poblacion: 129
individual7 mCAI=0.406849,mHD=0.210526,lLCS=0.175439,GENDER=female,AGE:0,fitness:149970, last mutation: -1, Identificador de poblacion: 198
individual8 mCAI=0.398596,mHD=0.210526,lLCS=0.166667,GENDER=female,AGE:0,fitness:146131, last mutation: -1, Identificador de poblacion: 175
individual9 mCAI=0.375986,mHD=0.210526,lLCS=0.175439,GENDER=female,AGE:0,fitness:117588, last mutation: -1, Identificador de poblacion: 29
individual10 mCAI=0.439986,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:85534, last mutation: -1, Identificador de poblacion: 61
individual11 mCAI=0.425967,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:75055.2, last mutation: -1, Identificador de poblacion: 197
individual12 mCAI=0.417218,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:68280.3, last mutation: -1, Identificador de poblacion: 2
individual13 mCAI=0.414525,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:66468.3, last mutation: -1, Identificador de poblacion: 94
individual14 mCAI=0.410611,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:63891.8, last mutation: -1, Identificador de poblacion: 4
individual15 mCAI=0.408246,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:62361.5, last mutation: -1, Identificador de poblacion: 113
individual16 mCAI=0.407925,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:62204.7, last mutation: -1, Identificador de poblacion: 12
individual17 mCAI=0.405883,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:58382.2, last mutation: -1, Identificador de poblacion: 127
individual18 mCAI=0.404982,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:57032.3, last mutation: -1, Identificador de poblacion: 26
individual19 mCAI=0.403366,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:55901.7, last mutation: -1, Identificador de poblacion: 24
individual20 mCAI=0.398719,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:51518.4, last mutation: -1, Identificador de poblacion: 135
individual21 mCAI=0.394446,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:49377.4, last mutation: -1, Identificador de poblacion: 81
individual22 mCAI=0.412323,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:33868.1, last mutation: -1, Identificador de poblacion: 188
individual23 mCAI=0.388471,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:31999.5, last mutation: -1, Identificador de poblacion: 199
individual24 mCAI=0.398163,mHD=0.201754,lLCS=0.157895,GENDER=female,AGE:0,fitness:30927, last mutation: -1, Identificador de poblacion: 182
individual25 mCAI=0.383451,mHD=0.201754,lLCS=0.122807,GENDER=female,AGE:0,fitness:29827.1, last mutation: -1, Identificador de poblacion: 22
individual26 mCAI=0.398691,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:29362.2, last mutation: -1, Identificador de poblacion: 122
individual27 mCAI=0.368142,mHD=0.210526,lLCS=0.149123,GENDER=female,AGE:0,fitness:29302.1, last mutation: -1, Identificador de poblacion: 23
individual28 mCAI=0.396955,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:28921.5, last mutation: -1, Identificador de poblacion: 183
individual29 mCAI=0.380179,mHD=0.201754,lLCS=0.122807,GENDER=female,AGE:0,fitness:28861.5, last mutation: -1, Identificador de poblacion: 6
individual30 mCAI=0.38434,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:24797, last mutation: -1, Identificador de poblacion: 147
individual31 mCAI=0.382827,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:24509.3, last mutation: -1, Identificador de poblacion: 10
individual32 mCAI=0.381177,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:24187.7, last mutation: -1, Identificador de poblacion: 54
individual33 mCAI=0.372403,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:21708.1, last mutation: -1, Identificador de poblacion: 118
individual34 mCAI=0.42945,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:15738.9, last mutation: -1, Identificador de poblacion: 153
individual35 mCAI=0.424247,mHD=0.192982,lLCS=0.122807,GENDER=female,AGE:0,fitness:15453.9, last mutation: -1, Identificador de poblacion: 133
individual36 mCAI=0.418461,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:13841.9, last mutation: -1, Identificador de poblacion: 105
individual37 mCAI=0.415065,mHD=0.192982,lLCS=0.140351,GENDER=female,AGE:0,fitness:13661.7, last mutation: -1, Identificador de poblacion: 35
individual38 mCAI=0.409005,mHD=0.192982,lLCS=0.140351,GENDER=female,AGE:0,fitness:12649.5, last mutation: -1, Identificador de poblacion: 109
individual39 mCAI=0.407871,mHD=0.192982,lLCS=0.122807,GENDER=female,AGE:0,fitness:12518.9, last mutation: -1, Identificador de poblacion: 3
individual40 mCAI=0.406489,mHD=0.192982,lLCS=0.140351,GENDER=female,AGE:0,fitness:11739.9, last mutation: -1, Identificador de poblacion: 64
individual41 mCAI=0.405983,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:11194.7, last mutation: -1, Identificador de poblacion: 101
individual42 mCAI=0.405389,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:11118.7, last mutation: -1, Identificador de poblacion: 194
individual43 mCAI=0.402304,mHD=0.192982,lLCS=0.131579,GENDER=female,AGE:0,fitness:10843.5, last mutation: -1, Identificador de poblacion: 139
individual44 mCAI=0.403527,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:10550.7, last mutation: -1, Identificador de poblacion: 167
individual45 mCAI=0.428011,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:10255.6, last mutation: -1, Identificador de poblacion: 178
individual46 mCAI=0.39884,mHD=0.192982,lLCS=0.140351,GENDER=female,AGE:0,fitness:10116.4, last mutation: -1, Identificador de poblacion: 43
individual47 mCAI=0.423334,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:9759.95, last mutation: -1, Identificador de poblacion: 25
individual48 mCAI=0.398809,mHD=0.192982,lLCS=0.131579,GENDER=female,AGE:0,fitness:9735.34, last mutation: -1, Identificador de poblacion: 126
individual49 mCAI=0.398098,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:9558.32, last mutation: -1, Identificador de poblacion: 184
individual50 mCAI=0.394657,mHD=0.192982,lLCS=0.140351,GENDER=female,AGE:0,fitness:9190.66, last mutation: -1, Identificador de poblacion: 160
individual51 mCAI=0.394259,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:9155.96, last mutation: -1, Identificador de poblacion: 165
individual52 mCAI=0.425505,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:8689.44, last mutation: -1, Identificador de poblacion: 34
individual53 mCAI=0.420638,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:8274.32, last mutation: -1, Identificador de poblacion: 120
individual54 mCAI=0.411031,mHD=0.192982,lLCS=0.166667,GENDER=female,AGE:0,fitness:8215.94, last mutation: -1, Identificador de poblacion: 187
individual55 mCAI=0.410364,mHD=0.192982,lLCS=0.166667,GENDER=female,AGE:0,fitness:8160.62, last mutation: -1, Identificador de poblacion: 62
individual56 mCAI=0.406362,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:7358.36, last mutation: -1, Identificador de poblacion: 149
individual57 mCAI=0.406951,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:7081.65, last mutation: -1, Identificador de poblacion: 47
individual58 mCAI=0.402547,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:6784.38, last mutation: -1, Identificador de poblacion: 49
individual59 mCAI=0.392361,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:6622.93, last mutation: -1, Identificador de poblacion: 86
individual60 mCAI=0.392009,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:6598.02, last mutation: -1, Identificador de poblacion: 42
individual61 mCAI=0.403899,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:6569.71, last mutation: -1, Identificador de poblacion: 75
individual62 mCAI=0.398998,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:6535.61, last mutation: -1, Identificador de poblacion: 58
individual63 mCAI=0.390465,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:6487.19, last mutation: -1, Identificador de poblacion: 156
individual64 mCAI=0.388194,mHD=0.192982,lLCS=0.131579,GENDER=female,AGE:0,fitness:6252.87, last mutation: -1, Identificador de poblacion: 68
individual65 mCAI=0.398608,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:6213.31, last mutation: -1, Identificador de poblacion: 169
individual66 mCAI=0.398215,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:6189.93, last mutation: -1, Identificador de poblacion: 33
individual67 mCAI=0.386031,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:6118.9, last mutation: -1, Identificador de poblacion: 31
individual68 mCAI=0.384104,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:5819.41, last mutation: -1, Identificador de poblacion: 60
individual69 mCAI=0.380222,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:5569.67, last mutation: -1, Identificador de poblacion: 102
individual70 mCAI=0.376054,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:5323, last mutation: -1, Identificador de poblacion: 20
individual71 mCAI=0.381954,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:4992.68, last mutation: -1, Identificador de poblacion: 116
individual72 mCAI=0.38173,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:4980.91, last mutation: -1, Identificador de poblacion: 28
individual73 mCAI=0.377508,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:4699.83, last mutation: -1, Identificador de poblacion: 66
individual74 mCAI=0.364401,mHD=0.201754,lLCS=0.140351,GENDER=female,AGE:0,fitness:4565.86, last mutation: -1, Identificador de poblacion: 150
individual75 mCAI=0.362558,mHD=0.201754,lLCS=0.140351,GENDER=female,AGE:0,fitness:4358.56, last mutation: -1, Identificador de poblacion: 136
individual76 mCAI=0.37227,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:4341.58, last mutation: -1, Identificador de poblacion: 192
individual77 mCAI=0.358276,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:3876.69, last mutation: -1, Identificador de poblacion: 190
individual78 mCAI=0.357903,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:3864, last mutation: -1, Identificador de poblacion: 196
individual79 mCAI=0.435151,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:3553.6, last mutation: -1, Identificador de poblacion: 107
individual80 mCAI=0.355644,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:3494.05, last mutation: -1, Identificador de poblacion: 137
individual81 mCAI=0.418067,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:2765.59, last mutation: -1, Identificador de poblacion: 110
individual82 mCAI=0.416093,mHD=0.184211,lLCS=0.122807,GENDER=female,AGE:0,fitness:2760.57, last mutation: -1, Identificador de poblacion: 46
individual83 mCAI=0.416213,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:2693.85, last mutation: -1, Identificador de poblacion: 44
individual84 mCAI=0.415163,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:2653.21, last mutation: -1, Identificador de poblacion: 173
individual85 mCAI=0.409732,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:2445.83, last mutation: -1, Identificador de poblacion: 15
individual86 mCAI=0.404316,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:2061.53, last mutation: -1, Identificador de poblacion: 13
individual87 mCAI=0.403682,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:2044.28, last mutation: -1, Identificador de poblacion: 93
individual88 mCAI=0.398413,mHD=0.184211,lLCS=0.131579,GENDER=female,AGE:0,fitness:1847.95, last mutation: -1, Identificador de poblacion: 143
individual89 mCAI=0.415409,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1786.86, last mutation: -1, Identificador de poblacion: 67
individual90 mCAI=0.412204,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1700.82, last mutation: -1, Identificador de poblacion: 5
individual91 mCAI=0.40834,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1619.8, last mutation: -1, Identificador de poblacion: 195
individual92 mCAI=0.406493,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1581.95, last mutation: -1, Identificador de poblacion: 52
individual93 mCAI=0.410825,mHD=0.201754,lLCS=0.184211,GENDER=female,AGE:0,fitness:1330.61, last mutation: -1, Identificador de poblacion: 171
individual94 mCAI=0.392983,mHD=0.184211,lLCS=0.140351,GENDER=female,AGE:0,fitness:1327.18, last mutation: -1, Identificador de poblacion: 162
individual95 mCAI=0.397142,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1324.13, last mutation: -1, Identificador de poblacion: 132
individual96 mCAI=0.393928,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1272.43, last mutation: -1, Identificador de poblacion: 168
individual97 mCAI=0.35585,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:1183.76, last mutation: -1, Identificador de poblacion: 89
individual98 mCAI=0.383878,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:1147.27, last mutation: -1, Identificador de poblacion: 128
individual99 mCAI=0.383436,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:1140.77, last mutation: -1, Identificador de poblacion: 41

individual100 mCAI=0.388445,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1113.99, last mutation: -1, Identificador de poblacion: 56
individual101 mCAI=0.382752,mHD=0.184211,lLCS=0.131579,GENDER=female,AGE:0,fitness:1113.68, last mutation: -1, Identificador de poblacion: 179
individual102 mCAI=0.380669,mHD=0.184211,lLCS=0.122807,GENDER=female,AGE:0,fitness:1079.19, last mutation: -1, Identificador de poblacion: 130
individual103 mCAI=0.385141,mHD=0.184211,lLCS=0.157895,GENDER=female,AGE:0,fitness:1066.14, last mutation: -1, Identificador de poblacion: 63
individual104 mCAI=0.375834,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:1032.75, last mutation: -1, Identificador de poblacion: 115
individual105 mCAI=0.380435,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1008.14, last mutation: -1, Identificador de poblacion: 50
individual106 mCAI=0.378091,mHD=0.184211,lLCS=0.157895,GENDER=female,AGE:0,fitness:974.273, last mutation: -1, Identificador de poblacion: 77
individual107 mCAI=0.371849,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:930.421, last mutation: -1, Identificador de poblacion: 45
individual108 mCAI=0.369672,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:900.86, last mutation: -1, Identificador de poblacion: 17
individual109 mCAI=0.373502,mHD=0.184211,lLCS=0.157895,GENDER=female,AGE:0,fitness:889.615, last mutation: -1, Identificador de poblacion: 166
individual110 mCAI=0.372599,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:886.286, last mutation: -1, Identificador de poblacion: 151
individual111 mCAI=0.370996,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:862.087, last mutation: -1, Identificador de poblacion: 57
individual112 mCAI=0.371264,mHD=0.184211,lLCS=0.157895,GENDER=female,AGE:0,fitness:859.424, last mutation: -1, Identificador de poblacion: 142
individual113 mCAI=0.362136,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:753.085, last mutation: -1, Identificador de poblacion: 181
individual114 mCAI=0.427512,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:663.688, last mutation: -1, Identificador de poblacion: 191
individual115 mCAI=0.425262,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:640.486, last mutation: -1, Identificador de poblacion: 155
individual116 mCAI=0.421908,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:608.599, last mutation: -1, Identificador de poblacion: 158
individual117 mCAI=0.354869,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:601.034, last mutation: -1, Identificador de poblacion: 134
individual118 mCAI=0.420902,mHD=0.192982,lLCS=0.210526,GENDER=female,AGE:0,fitness:522.157, last mutation: -1, Identificador de poblacion: 146
individual119 mCAI=0.41031,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:500.403, last mutation: -1, Identificador de poblacion: 152
individual120 mCAI=0.426904,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:490.611, last mutation: -1, Identificador de poblacion: 36
individual121 mCAI=0.415607,mHD=0.175439,lLCS=0.166667,GENDER=female,AGE:0,fitness:450.661, last mutation: -1, Identificador de poblacion: 177
individual122 mCAI=0.417171,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:430.099, last mutation: -1, Identificador de poblacion: 172
individual123 mCAI=0.404707,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:405.136, last mutation: -1, Identificador de poblacion: 1
individual124 mCAI=0.402662,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:392.567, last mutation: -1, Identificador de poblacion: 189
individual125 mCAI=0.409085,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:382.37, last mutation: -1, Identificador de poblacion: 185
individual126 mCAI=0.399636,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:374.595, last mutation: -1, Identificador de poblacion: 138
individual127 mCAI=0.39832,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:361.588, last mutation: -1, Identificador de poblacion: 84
individual128 mCAI=0.398312,mHD=0.175439,lLCS=0.140351,GENDER=female,AGE:0,fitness:355.018, last mutation: -1, Identificador de poblacion: 104
individual129 mCAI=0.403239,mHD=0.201754,lLCS=0.184211,GENDER=female,AGE:0,fitness:339.181, last mutation: -1, Identificador de poblacion: 37
individual130 mCAI=0.361985,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:316.297, last mutation: -1, Identificador de poblacion: 71
individual131 mCAI=0.393603,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:277.052, last mutation: -1, Identificador de poblacion: 73
individual132 mCAI=0.390087,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:258.372, last mutation: -1, Identificador de poblacion: 174
individual133 mCAI=0.389032,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:254.22, last mutation: -1, Identificador de poblacion: 80
individual134 mCAI=0.386171,mHD=0.201754,lLCS=0.201754,GENDER=female,AGE:0,fitness:219.785, last mutation: -1, Identificador de poblacion: 48
individual135 mCAI=0.387813,mHD=0.201754,lLCS=0.22807,GENDER=female,AGE:0,fitness:210.915, last mutation: -1, Identificador de poblacion: 18
individual136 mCAI=0.375067,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:195.835, last mutation: -1, Identificador de poblacion: 163
individual137 mCAI=0.373773,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:194.695, last mutation: -1, Identificador de poblacion: 85
individual138 mCAI=0.374281,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:193.443, last mutation: -1, Identificador de poblacion: 117
individual139 mCAI=0.373527,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:190.382, last mutation: -1, Identificador de poblacion: 91
individual140 mCAI=0.372221,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:190.347, last mutation: -1, Identificador de poblacion: 65
individual141 mCAI=0.363516,mHD=0.201754,lLCS=0.280702,GENDER=female,AGE:0,fitness:185.924, last mutation: -1, Identificador de poblacion: 145
individual142 mCAI=0.398873,mHD=0.192982,lLCS=0.184211,GENDER=female,AGE:0,fitness:172.44, last mutation: -1, Identificador de poblacion: 111
individual143 mCAI=0.398913,mHD=0.192982,lLCS=0.184211,GENDER=female,AGE:0,fitness:172.211, last mutation: -1, Identificador de poblacion: 69
individual144 mCAI=0.400908,mHD=0.192982,lLCS=0.201754,GENDER=female,AGE:0,fitness:167.954, last mutation: -1, Identificador de poblacion: 14
individual145 mCAI=0.400521,mHD=0.192982,lLCS=0.201754,GENDER=female,AGE:0,fitness:167.726, last mutation: -1, Identificador de poblacion: 8
