
Iteracción: 0
individual0 mCAI=0.369312,mHD=0.131579,lLCS=0.175439,GENDER=female,AGE:0,fitness:3.00171e+11, last mutation: -1, Identificador de poblacion: 94
individual1 mCAI=0.356739,mHD=0.157895,lLCS=0.245614,GENDER=female,AGE:0,fitness:8.50193e+08, last mutation: -1, Identificador de poblacion: 129
individual2 mCAI=0.397078,mHD=0.157895,lLCS=0.219298,GENDER=female,AGE:0,fitness:7.95057e+08, last mutation: -1, Identificador de poblacion: 141
individual3 mCAI=0.411757,mHD=0.157895,lLCS=0.149123,GENDER=female,AGE:0,fitness:6.01194e+08, last mutation: -1, Identificador de poblacion: 73
individual4 mCAI=0.405463,mHD=0.157895,lLCS=0.157895,GENDER=female,AGE:0,fitness:5.99643e+08, last mutation: -1, Identificador de poblacion: 173
individual5 mCAI=0.35507,mHD=0.157895,lLCS=0.175439,GENDER=female,AGE:0,fitness:4.85165e+08, last mutation: -1, Identificador de poblacion: 19
individual6 mCAI=0.380337,mHD=0.166667,lLCS=0.254386,GENDER=female,AGE:0,fitness:1.0707e+08, last mutation: -1, Identificador de poblacion: 177
individual7 mCAI=0.428578,mHD=0.166667,lLCS=0.157895,GENDER=female,AGE:0,fitness:8.25116e+07, last mutation: -1, Identificador de poblacion: 113
individual8 mCAI=0.408819,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:7.87456e+07, last mutation: -1, Identificador de poblacion: 190
individual9 mCAI=0.408696,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:7.86935e+07, last mutation: -1, Identificador de poblacion: 199
individual10 mCAI=0.398134,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:7.43786e+07, last mutation: -1, Identificador de poblacion: 51
individual11 mCAI=0.395315,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:7.32673e+07, last mutation: -1, Identificador de poblacion: 108
individual12 mCAI=0.391941,mHD=0.166667,lLCS=0.175439,GENDER=female,AGE:0,fitness:7.19592e+07, last mutation: -1, Identificador de poblacion: 38
individual13 mCAI=0.351084,mHD=0.166667,lLCS=0.201754,GENDER=female,AGE:0,fitness:7.0136e+07, last mutation: -1, Identificador de poblacion: 60
individual14 mCAI=0.341165,mHD=0.166667,lLCS=0.184211,GENDER=female,AGE:0,fitness:5.87677e+07, last mutation: -1, Identificador de poblacion: 110
individual15 mCAI=0.363222,mHD=0.166667,lLCS=0.166667,GENDER=female,AGE:0,fitness:5.82087e+07, last mutation: -1, Identificador de poblacion: 121
individual16 mCAI=0.380071,mHD=0.166667,lLCS=0.149123,GENDER=female,AGE:0,fitness:5.79307e+07, last mutation: -1, Identificador de poblacion: 67
individual17 mCAI=0.377641,mHD=0.166667,lLCS=0.149123,GENDER=female,AGE:0,fitness:5.6997e+07, last mutation: -1, Identificador de poblacion: 185
individual18 mCAI=0.356236,mHD=0.166667,lLCS=0.157895,GENDER=female,AGE:0,fitness:5.2549e+07, last mutation: -1, Identificador de poblacion: 40
individual19 mCAI=0.363735,mHD=0.166667,lLCS=0.149123,GENDER=female,AGE:0,fitness:5.1937e+07, last mutation: -1, Identificador de poblacion: 2
individual20 mCAI=0.351484,mHD=0.166667,lLCS=0.149123,GENDER=female,AGE:0,fitness:4.78525e+07, last mutation: -1, Identificador de poblacion: 45
individual21 mCAI=0.41417,mHD=0.175439,lLCS=0.22807,GENDER=female,AGE:0,fitness:1.14989e+07, last mutation: -1, Identificador de poblacion: 70
individual22 mCAI=0.389496,mHD=0.175439,lLCS=0.201754,GENDER=female,AGE:0,fitness:9.58688e+06, last mutation: -1, Identificador de poblacion: 78
individual23 mCAI=0.413725,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:9.49082e+06, last mutation: -1, Identificador de poblacion: 168
individual24 mCAI=0.424991,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:9.21965e+06, last mutation: -1, Identificador de poblacion: 118
individual25 mCAI=0.407355,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:9.21021e+06, last mutation: -1, Identificador de poblacion: 120
individual26 mCAI=0.377591,mHD=0.175439,lLCS=0.201754,GENDER=female,AGE:0,fitness:9.19305e+06, last mutation: -1, Identificador de poblacion: 130
individual27 mCAI=0.417147,mHD=0.175439,lLCS=0.157895,GENDER=female,AGE:0,fitness:9.07503e+06, last mutation: -1, Identificador de poblacion: 195
individual28 mCAI=0.402125,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:8.98603e+06, last mutation: -1, Identificador de poblacion: 3
individual29 mCAI=0.397671,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:8.79947e+06, last mutation: -1, Identificador de poblacion: 91
individual30 mCAI=0.416859,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:8.78782e+06, last mutation: -1, Identificador de poblacion: 47
individual31 mCAI=0.414472,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:8.66497e+06, last mutation: -1, Identificador de poblacion: 6
individual32 mCAI=0.390801,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:8.51919e+06, last mutation: -1, Identificador de poblacion: 131
individual33 mCAI=0.405169,mHD=0.175439,lLCS=0.157895,GENDER=female,AGE:0,fitness:8.49611e+06, last mutation: -1, Identificador de poblacion: 194
individual34 mCAI=0.390138,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:8.49262e+06, last mutation: -1, Identificador de poblacion: 163
individual35 mCAI=0.386153,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:8.33466e+06, last mutation: -1, Identificador de poblacion: 14
