
Iteracción: 0
individual0 mCAI=1,mHD=0,lLCS=1,GENDER=male,AGE:0,fitness:4.00649e+07, last mutation: -1, Identificador de poblacion: 0
individual1 mCAI=0.387532,mHD=0.219298,lLCS=0.140351,GENDER=male,AGE:0,fitness:371387, last mutation: -1, Identificador de poblacion: 56
individual2 mCAI=0.379502,mHD=0.219298,lLCS=0.149123,GENDER=male,AGE:0,fitness:263586, last mutation: -1, Identificador de poblacion: 63
individual3 mCAI=0.420523,mHD=0.210526,lLCS=0.149123,GENDER=male,AGE:0,fitness:137241, last mutation: -1, Identificador de poblacion: 130
individual4 mCAI=0.410969,mHD=0.210526,lLCS=0.149123,GENDER=male,AGE:0,fitness:126778, last mutation: -1, Identificador de poblacion: 104
individual5 mCAI=0.405339,mHD=0.210526,lLCS=0.149123,GENDER=male,AGE:0,fitness:121972, last mutation: -1, Identificador de poblacion: 62
individual6 mCAI=0.422538,mHD=0.210526,lLCS=0.157895,GENDER=male,AGE:0,fitness:96726.4, last mutation: -1, Identificador de poblacion: 153
individual7 mCAI=0.389075,mHD=0.210526,lLCS=0.149123,GENDER=male,AGE:0,fitness:87552.5, last mutation: -1, Identificador de poblacion: 102
individual8 mCAI=0.396037,mHD=0.210526,lLCS=0.157895,GENDER=male,AGE:0,fitness:76697, last mutation: -1, Identificador de poblacion: 199
individual9 mCAI=0.425731,mHD=0.210526,lLCS=0.175439,GENDER=male,AGE:0,fitness:70628.9, last mutation: -1, Identificador de poblacion: 121
individual10 mCAI=0.377011,mHD=0.210526,lLCS=0.122807,GENDER=male,AGE:0,fitness:59585.1, last mutation: -1, Identificador de poblacion: 27
individual11 mCAI=0.400952,mHD=0.210526,lLCS=0.175439,GENDER=male,AGE:0,fitness:57700.2, last mutation: -1, Identificador de poblacion: 154
individual12 mCAI=0.39945,mHD=0.210526,lLCS=0.175439,GENDER=male,AGE:0,fitness:56851.2, last mutation: -1, Identificador de poblacion: 96
individual13 mCAI=0.370642,mHD=0.210526,lLCS=0.149123,GENDER=male,AGE:0,fitness:52626.9, last mutation: -1, Identificador de poblacion: 114
individual14 mCAI=0.360617,mHD=0.210526,lLCS=0.149123,GENDER=male,AGE:0,fitness:47967.7, last mutation: -1, Identificador de poblacion: 140
individual15 mCAI=0.437748,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:42945.4, last mutation: -1, Identificador de poblacion: 55
individual16 mCAI=0.429054,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:39434.6, last mutation: -1, Identificador de poblacion: 58
individual17 mCAI=0.426788,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:38570.9, last mutation: -1, Identificador de poblacion: 20
individual18 mCAI=0.425451,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:37936.7, last mutation: -1, Identificador de poblacion: 169
individual19 mCAI=0.42319,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:35504.1, last mutation: -1, Identificador de poblacion: 194
individual20 mCAI=0.415166,mHD=0.201754,lLCS=0.122807,GENDER=male,AGE:0,fitness:34487, last mutation: -1, Identificador de poblacion: 185
individual21 mCAI=0.417534,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:33610.6, last mutation: -1, Identificador de poblacion: 50
individual22 mCAI=0.417101,mHD=0.201754,lLCS=0.140351,GENDER=male,AGE:0,fitness:33528.1, last mutation: -1, Identificador de poblacion: 162
individual23 mCAI=0.414408,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:32647.3, last mutation: -1, Identificador de poblacion: 90
individual24 mCAI=0.411769,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:31384.2, last mutation: -1, Identificador de poblacion: 188
individual25 mCAI=0.40576,mHD=0.201754,lLCS=0.131579,GENDER=male,AGE:0,fitness:29670.9, last mutation: -1, Identificador de poblacion: 129
individual26 mCAI=0.404736,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:29315.3, last mutation: -1, Identificador de poblacion: 15
individual27 mCAI=0.396561,mHD=0.201754,lLCS=0.131579,GENDER=male,AGE:0,fitness:26308, last mutation: -1, Identificador de poblacion: 97
individual28 mCAI=0.416702,mHD=0.201754,lLCS=0.157895,GENDER=male,AGE:0,fitness:23822.1, last mutation: -1, Identificador de poblacion: 83
individual29 mCAI=0.415549,mHD=0.201754,lLCS=0.157895,GENDER=male,AGE:0,fitness:23481.6, last mutation: -1, Identificador de poblacion: 13
individual30 mCAI=0.390809,mHD=0.201754,lLCS=0.131579,GENDER=male,AGE:0,fitness:23447.2, last mutation: -1, Identificador de poblacion: 65
individual31 mCAI=0.405405,mHD=0.201754,lLCS=0.157895,GENDER=male,AGE:0,fitness:21133.8, last mutation: -1, Identificador de poblacion: 151
individual32 mCAI=0.42857,mHD=0.201754,lLCS=0.175439,GENDER=male,AGE:0,fitness:19857.5, last mutation: -1, Identificador de poblacion: 51
individual33 mCAI=0.382761,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:18179.5, last mutation: -1, Identificador de poblacion: 48
individual34 mCAI=0.393925,mHD=0.201754,lLCS=0.157895,GENDER=male,AGE:0,fitness:18026.4, last mutation: -1, Identificador de poblacion: 139
individual35 mCAI=0.406909,mHD=0.201754,lLCS=0.175439,GENDER=male,AGE:0,fitness:15964.3, last mutation: -1, Identificador de poblacion: 88
individual36 mCAI=0.384672,mHD=0.201754,lLCS=0.157895,GENDER=male,AGE:0,fitness:15611.4, last mutation: -1, Identificador de poblacion: 132
individual37 mCAI=0.380226,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:14806.3, last mutation: -1, Identificador de poblacion: 128
individual38 mCAI=0.397525,mHD=0.201754,lLCS=0.175439,GENDER=male,AGE:0,fitness:14532.5, last mutation: -1, Identificador de poblacion: 142
individual39 mCAI=0.397267,mHD=0.201754,lLCS=0.175439,GENDER=male,AGE:0,fitness:14377.3, last mutation: -1, Identificador de poblacion: 69
individual40 mCAI=0.373135,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:12722.3, last mutation: -1, Identificador de poblacion: 82
individual41 mCAI=0.384973,mHD=0.201754,lLCS=0.166667,GENDER=male,AGE:0,fitness:11826.2, last mutation: -1, Identificador de poblacion: 45
individual42 mCAI=0.365882,mHD=0.201754,lLCS=0.122807,GENDER=male,AGE:0,fitness:11543.5, last mutation: -1, Identificador de poblacion: 44
individual43 mCAI=0.436305,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:11030.7, last mutation: -1, Identificador de poblacion: 98
individual44 mCAI=0.360042,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:10937.8, last mutation: -1, Identificador de poblacion: 141
individual45 mCAI=0.375361,mHD=0.201754,lLCS=0.175439,GENDER=male,AGE:0,fitness:10514, last mutation: -1, Identificador de poblacion: 133
individual46 mCAI=0.356686,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:10412.9, last mutation: -1, Identificador de poblacion: 127
individual47 mCAI=0.373131,mHD=0.201754,lLCS=0.175439,GENDER=male,AGE:0,fitness:10085.6, last mutation: -1, Identificador de poblacion: 137
individual48 mCAI=0.369902,mHD=0.201754,lLCS=0.175439,GENDER=male,AGE:0,fitness:9787.81, last mutation: -1, Identificador de poblacion: 19
individual49 mCAI=0.420778,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:8753.23, last mutation: -1, Identificador de poblacion: 118
individual50 mCAI=0.414102,mHD=0.192982,lLCS=0.122807,GENDER=male,AGE:0,fitness:8387.1, last mutation: -1, Identificador de poblacion: 33
