
Iteracción: 0
individual0 mCAI=1,mHD=0,lLCS=1,GENDER=male,AGE:0,fitness:6.377e+09, last mutation: -1, Identificador de poblacion: 0
individual1 mCAI=0.40811,mHD=0.210526,lLCS=0.149123,GENDER=male,AGE:0,fitness:735498, last mutation: -1, Identificador de poblacion: 67
individual2 mCAI=0.385064,mHD=0.210526,lLCS=0.131579,GENDER=male,AGE:0,fitness:600525, last mutation: -1, Identificador de poblacion: 186
individual3 mCAI=0.386269,mHD=0.210526,lLCS=0.149123,GENDER=male,AGE:0,fitness:535583, last mutation: -1, Identificador de poblacion: 156
individual4 mCAI=0.380831,mHD=0.210526,lLCS=0.149123,GENDER=male,AGE:0,fitness:512564, last mutation: -1, Identificador de poblacion: 126
individual5 mCAI=0.39582,mHD=0.210526,lLCS=0.157895,GENDER=male,AGE:0,fitness:479958, last mutation: -1, Identificador de poblacion: 12
individual6 mCAI=0.430036,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:182644, last mutation: -1, Identificador de poblacion: 4
individual7 mCAI=0.417574,mHD=0.201754,lLCS=0.122807,GENDER=male,AGE:0,fitness:179437, last mutation: -1, Identificador de poblacion: 199
individual8 mCAI=0.415689,mHD=0.201754,lLCS=0.131579,GENDER=male,AGE:0,fitness:175528, last mutation: -1, Identificador de poblacion: 56
individual9 mCAI=0.414737,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:160807, last mutation: -1, Identificador de poblacion: 152
individual10 mCAI=0.402336,mHD=0.201754,lLCS=0.122807,GENDER=male,AGE:0,fitness:157433, last mutation: -1, Identificador de poblacion: 83
individual11 mCAI=0.411494,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:155109, last mutation: -1, Identificador de poblacion: 66
individual12 mCAI=0.385144,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:109113, last mutation: -1, Identificador de poblacion: 128
individual13 mCAI=0.378892,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:99663.8, last mutation: -1, Identificador de poblacion: 55
individual14 mCAI=0.377341,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:98413.2, last mutation: -1, Identificador de poblacion: 34
individual15 mCAI=0.385702,mHD=0.201754,lLCS=0.157895,GENDER=male,AGE:0,fitness:94626.8, last mutation: -1, Identificador de poblacion: 33
individual16 mCAI=0.416639,mHD=0.210526,lLCS=0.175439,GENDER=male,AGE:0,fitness:48702, last mutation: -1, Identificador de poblacion: 48
individual17 mCAI=0.387879,mHD=0.210526,lLCS=0.175439,GENDER=male,AGE:0,fitness:45718.4, last mutation: -1, Identificador de poblacion: 195
individual18 mCAI=0.434401,mHD=0.192982,lLCS=0.140351,GENDER=male,AGE:0,fitness:43106.9, last mutation: -1, Identificador de poblacion: 16
individual19 mCAI=0.435553,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:42570.2, last mutation: -1, Identificador de poblacion: 54
individual20 mCAI=0.426162,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:38678.8, last mutation: -1, Identificador de poblacion: 148
individual21 mCAI=0.382353,mHD=0.210526,lLCS=0.175439,GENDER=male,AGE:0,fitness:38212.5, last mutation: -1, Identificador de poblacion: 9
individual22 mCAI=0.421591,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:36472.6, last mutation: -1, Identificador de poblacion: 25
individual23 mCAI=0.418286,mHD=0.192982,lLCS=0.140351,GENDER=male,AGE:0,fitness:36366.8, last mutation: -1, Identificador de poblacion: 119
individual24 mCAI=0.407423,mHD=0.192982,lLCS=0.131579,GENDER=male,AGE:0,fitness:34046.3, last mutation: -1, Identificador de poblacion: 161
individual25 mCAI=0.410169,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:32362.7, last mutation: -1, Identificador de poblacion: 72
individual26 mCAI=0.40943,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:32118.1, last mutation: -1, Identificador de poblacion: 43
individual27 mCAI=0.406745,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:31194.5, last mutation: -1, Identificador de poblacion: 11
individual28 mCAI=0.405659,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:31087.9, last mutation: -1, Identificador de poblacion: 171
individual29 mCAI=0.398527,mHD=0.192982,lLCS=0.122807,GENDER=male,AGE:0,fitness:30788, last mutation: -1, Identificador de poblacion: 193
individual30 mCAI=0.403037,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:30157.8, last mutation: -1, Identificador de poblacion: 187
individual31 mCAI=0.401224,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:29572.5, last mutation: -1, Identificador de poblacion: 96
individual32 mCAI=0.401755,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:29516.7, last mutation: -1, Identificador de poblacion: 50
individual33 mCAI=0.399028,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:28849.7, last mutation: -1, Identificador de poblacion: 155
individual34 mCAI=0.393779,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:27259.1, last mutation: -1, Identificador de poblacion: 142
individual35 mCAI=0.371533,mHD=0.201754,lLCS=0.122807,GENDER=male,AGE:0,fitness:27196.3, last mutation: -1, Identificador de poblacion: 172
individual36 mCAI=0.393271,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:26899.9, last mutation: -1, Identificador de poblacion: 32
individual37 mCAI=0.413993,mHD=0.192982,lLCS=0.157895,GENDER=male,AGE:0,fitness:26876.7, last mutation: -1, Identificador de poblacion: 35
individual38 mCAI=0.412448,mHD=0.192982,lLCS=0.157895,GENDER=male,AGE:0,fitness:26700.3, last mutation: -1, Identificador de poblacion: 194
individual39 mCAI=0.409261,mHD=0.192982,lLCS=0.157895,GENDER=male,AGE:0,fitness:25870.8, last mutation: -1, Identificador de poblacion: 107
individual40 mCAI=0.388156,mHD=0.192982,lLCS=0.122807,GENDER=male,AGE:0,fitness:25178.6, last mutation: -1, Identificador de poblacion: 111
individual41 mCAI=0.404013,mHD=0.192982,lLCS=0.157895,GENDER=male,AGE:0,fitness:24237.6, last mutation: -1, Identificador de poblacion: 31
individual42 mCAI=0.370732,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:20721.7, last mutation: -1, Identificador de poblacion: 125
individual43 mCAI=0.379232,mHD=0.192982,lLCS=0.149123,GENDER=male,AGE:0,fitness:20612.6, last mutation: -1, Identificador de poblacion: 24
individual44 mCAI=0.371422,mHD=0.201754,lLCS=0.149123,GENDER=male,AGE:0,fitness:20006.5, last mutation: -1, Identificador de poblacion: 49
individual45 mCAI=0.366908,mHD=0.201754,lLCS=0.140351,GENDER=male,AGE:0,fitness:19846.7, last mutation: -1, Identificador de poblacion: 116
individual46 mCAI=0.416092,mHD=0.201754,lLCS=0.175439,GENDER=male,AGE:0,fitness:14813.7, last mutation: -1, Identificador de poblacion: 112
